,word,freq
437,number,6110
438,finally,6104
439,become,6099
440,pay,6089
441,several,6055
442,national,6049
443,government,6041
444,hate,6023
445,bring,6009
446,looks,5997
447,gonna,5975
448,sometimes,5973
449,needs,5965
450,power,5901
451,health,5880
452,excited,5876
453,birthday,5860
454,couple,5854
455,hand,5839
456,word,5837
457,according,5831
458,e,5829
459,red,5826
460,phone,5825
461,add,5785
462,ask,5769
463,baby,5733
464,men,5723
465,thinking,5714
466,community,5709
467,move,5704
468,close,5684
469,stuff,5683
470,special,5671
471,instead,5654
472,park,5647
473,cut,5627
474,street,5624
475,leave,5595
476,important,5591
477,list,5588
478,john,5580
479,based,5548
480,words,5539
481,mom,5528
482,dy,5521
483,series,5521
484,saying,5518
485,means,5517
486,road,5473
487,song,5470
488,court,5461
489,meet,5452
490,share,5439
491,seems,5438
492,service,5416
493,heard,5399
494,outside,5393
495,college,5392
496,problem,5389
497,program,5389
498,project,5376
499,light,5362
500,quite,5356
501,running,5349
502,former,5343
503,r,5315
504,buy,5304
505,ok,5297
506,talking,5296
507,either,5286
508,event,5277
509,enjoy,5256
510,behind,5252
511,whether,5230
512,experience,5223
513,future,5212
514,april,5202
515,deal,5197
516,hot,5197
517,isn,5196
518,tweet,5196
519,film,5189
520,reading,5175
521,third,5171
522,video,5157
523,books,5129
524,gets,5115
525,board,5114
526,turn,5110
527,social,5108
528,writing,5101
529,wrong,5090
530,feeling,5087
531,beer,5078
532,information,5074
533,hour,5070
534,thursday,5064
535,york,5064
536,woman,5057
537,rather,5056
538,body,5053
539,question,5048
540,knew,5037
541,art,5036
542,easy,5031
543,system,5031
544,sorry,5023
545,six,5012
546,short,5007
547,perfect,4973
548,reason,4970
549,order,4964
550,child,4950
551,tuesday,4941
552,sleep,4940
553,university,4924
554,history,4919
555,moment,4918
556,obama,4912
557,front,4858
558,rest,4826
559,meeting,4800
560,south,4796
561,given,4795
562,youa,4792
563,guess,4790
564,members,4790
565,sweet,4773
566,san,4764
567,large,4755
568,green,4750
569,living,4744
570,needed,4743
571,market,4742
572,girls,4728
573,gave,4723
574,goes,4716
575,fall,4681
576,media,4667
577,especially,4665
578,town,4657
579,chance,4652
580,matter,4650
581,bill,4647
582,eat,4636
583,wasn,4633
584,building,4611
585,mr,4606
586,points,4606
587,parents,4603
588,cause,4568
589,played,4568
590,across,4562
591,felt,4555
592,decided,4541
593,starting,4538
594,final,4530
595,among,4525
596,known,4504
597,tv,4501
598,taken,4496
599,walk,4490
600,single,4459
601,coach,4458
602,death,4453
603,welcome,4446
604,store,4440
605,spring,4439
606,write,4435
607,glad,4421
608,pick,4421
609,fire,4409
610,available,4403
611,near,4403
612,fans,4402
613,wants,4402
614,son,4390
615,north,4386
616,learn,4385
617,ya,4357
618,wednesday,4352
619,march,4324
620,shot,4318
621,tax,4308
622,www,4306
623,crazy,4298
624,district,4296
625,gone,4288
626,rock,4286
627,lead,4285
628,visit,4281
629,self,4275
630,states,4268
631,online,4261
632,card,4256
633,department,4254
634,break,4253
635,hair,4250
636,dinner,4247
637,within,4246
638,understand,4236
639,happen,4235
640,bed,4231
641,yourself,4229
642,possible,4224
643,director,4211
644,officials,4207
645,drive,4187
646,added,4181
647,although,4181
648,loved,4168
649,space,4167
650,tried,4162
651,didna,4152
652,facebook,4137
653,west,4137
654,federal,4136
655,haven,4135
656,works,4129
657,boy,4122
658,site,4119
659,field,4116
660,eyes,4113
661,lives,4112
662,inside,4081
663,paper,4065
664,players,4063
665,process,4057
666,level,4052
667,sounds,4048
668,wow,4046
669,report,4043
670,seeing,4034
671,spent,4032
672,strong,4032
673,sense,4028
674,yesterday,4020
675,email,4017
676,super,4011
677,air,4005
678,interesting,3998
679,funny,3997
680,takes,3996
681,turned,3992
682,definitely,3976
683,record,3960
684,round,3939
685,general,3934
686,wife,3933
687,wonderful,3932
688,issue,3930
689,worked,3922
690,low,3920
691,major,3917
692,church,3908
693,send,3903
694,thata,3886
695,looked,3872
696,trip,3865
697,age,3864
698,worth,3863
699,christmas,3856
700,waiting,3847
701,page,3834
702,club,3833
703,middle,3822
704,happened,3816
705,wanna,3811
706,star,3809
707,giving,3807
708,huge,3802
709,per,3795
710,america,3786
711,ur,3786
712,picture,3782
713,cost,3774
714,jobs,3764
715,father,3762
716,lots,3750
717,conference,3740
718,control,3730
719,ohio,3730
720,energy,3701
721,shows,3695
722,fan,3691
723,create,3678
724,co,3677
725,clear,3675
726,finished,3672
727,human,3665
728,recent,3661
729,blue,3658
730,questions,3657
731,fine,3656
732,chicago,3652
733,ones,3648
734,hold,3642
735,schools,3626
736,washington,3626
737,brown,3603
738,longer,3603
739,nearly,3593
740,weather,3591
741,political,3589
742,door,3587
743,recently,3585
744,war,3574
745,style,3567
746,x,3566
747,plans,3560
748,coffee,3556
749,dont,3549
750,g,3546
751,la,3546
752,himself,3538
753,stand,3536
754,bar,3533
755,lunch,3532
756,seem,3522
757,dog,3517
758,education,3516
759,began,3512
760,race,3505
761,act,3504
762,cleveland,3497
763,personal,3496
764,wine,3496
765,forget,3478
766,k,3477
767,challenge,3476
768,services,3474
769,goal,3469
770,likely,3469
771,career,3459
772,issues,3459
773,ball,3451
774,sent,3448
775,continue,3445
776,band,3443
777,hands,3437
778,sound,3432
779,cover,3425
780,step,3409
781,okay,3405
782,join,3403
783,wea,3401
784,above,3394
785,cannot,3384
786,campaign,3381
787,website,3367
788,return,3357
789,couldn,3352
790,voice,3345
791,price,3336
792,luck,3323
793,met,3315
794,decision,3314
795,simply,3314
796,player,3313
797,sign,3308
798,cold,3307
799,dead,3305
800,include,3305
801,action,3300
802,jersey,3297
803,husband,3296
804,ways,3292
805,answer,3278
806,boys,3263
807,knows,3263
808,perhaps,3260
809,earlier,3258
810,moving,3255
811,themselves,3252
812,companies,3248
813,wonder,3247
814,vote,3244
815,expected,3243
816,held,3239
817,simple,3239
818,heat,3226
819,feet,3223
820,piece,3221
821,league,3215
822,east,3211
823,research,3210
824,gotta,3205
825,june,3203
826,usually,3203
827,design,3201
828,due,3201
829,sun,3192
830,sales,3173
831,budget,3172
832,wrote,3170
833,alone,3161
834,seriously,3159
835,brought,3156
836,problems,3150
837,pass,3149
838,beat,3146
839,exactly,3134
840,spend,3134
841,became,3133
842,j,3125
843,daughter,3122
844,oil,3121
845,attention,3116
846,y,3116
847,fast,3091
848,david,3088
849,offer,3088
850,sad,3087
851,california,3086
852,missed,3085
853,success,3082
854,drink,3080
855,save,3075
856,entire,3069
857,whatever,3066
858,cup,3054
859,football,3050
860,staff,3050
861,mark,3044
862,dark,3041
863,fresh,3035
864,seven,3033
865,date,3031
866,afternoon,3025
867,cana,3024
868,fight,3024
869,current,3023
870,mine,3016
871,stories,3011
872,billion,3008
873,non,3003
874,student,3003
875,plus,3000
876,brother,2996
877,form,2993
878,hea,2988
879,led,2988
880,ha,2983
881,louis,2983
882,training,2983
883,bought,2981
884,jesus,2980
885,events,2979
886,practice,2971
887,united,2967
888,paul,2966
889,wouldn,2966
890,received,2965
891,busy,2964
892,example,2960
893,whose,2949
894,main,2944
895,kid,2943
896,followers,2942
897,congrats,2939
898,view,2936
899,dream,2928
900,opening,2924
901,james,2917
902,extra,2912
903,learned,2911
904,choice,2909
905,ideas,2906
906,key,2901
907,provide,2899
908,paid,2889
909,moved,2886
910,hospital,2881
911,term,2873
912,michael,2869
913,learning,2865
914,loss,2865
915,text,2854
916,sports,2853
917,press,2848
918,opportunity,2847
919,teams,2847
920,member,2839
921,focus,2832
922,completely,2830
923,agree,2827
924,deep,2827
925,dance,2826
926,rain,2826
927,study,2824
928,hi,2822
929,table,2822
930,dr,2820
931,died,2818
932,dad,2817
933,followed,2817
934,council,2816
935,minute,2814
936,listen,2810
937,type,2808
938,cute,2805
939,difficult,2798
940,sitting,2798
941,details,2794
942,totally,2794
943,character,2792
944,listening,2791
945,winning,2790
946,beach,2789
947,pictures,2789
948,test,2789
